id,Start_minutes,End_minutes,X,Y,Team,Action,Half,Player_Name,next_player,next_action,next_x,next_y,event_id,next_team,next_event_id,xt_value,Date,Game,League,Manager,Match_ID,Season,Opposition_Team,Shots,SoT,Goals_scored,Goals_conceded,Accurate passes,Inaccurate passes,Passes,xG,Unnamed: 31,XG,Team.1,Unnamed: 34
3264,88.72,89.05,83.1,51.7,Mamelodi Sundowns,Inaccurate passes,2nd half,Themba Zwane,Themba Zwane,Lost balls,87.5,44.7,1811,Mamelodi Sundowns,1812,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,0,1,1,,,,,
3279,88.87,89.2,47.6,24.4,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Nduduzo Sibiya,Positional attacks,54.2,15.2,1819,Lamontville Golden Arrows,1820,0.00182685,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3281,88.9,89.23,54.2,15.2,Lamontville Golden Arrows,Accurate passes,2nd half,Nduduzo Sibiya,Sera Motebang,Positional attacks,73,3.2,1820,Lamontville Golden Arrows,1821,0.00510316,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3284,88.95,89.28,74.7,11.6,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Nduduzo Sibiya,Positional attacks,73.4,18.7,1822,Lamontville Golden Arrows,1823,0.00010719,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3286,88.97,89.3,73.4,18.7,Lamontville Golden Arrows,Accurate passes,2nd half,Nduduzo Sibiya,Michael Gumede,Positional attacks,79.4,35.1,1823,Lamontville Golden Arrows,1824,0.01099086,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3288,89,89.33,79.4,35.1,Lamontville Golden Arrows,Accurate passes,2nd half,Michael Gumede,Nduduzo Sibiya,Positional attacks,72.2,30.4,1824,Lamontville Golden Arrows,1825,-0.01126177,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3291,89.03,89.37,72.2,30.4,Lamontville Golden Arrows,Successful dribbles,2nd half,Nduduzo Sibiya,Neo Maema,Unsuccessful tackles,32.8,37.6,1827,Mamelodi Sundowns,1828,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,0,0,0,,,,,
3294,89.15,89.48,75.8,42.1,Lamontville Golden Arrows,Accurate passes,2nd half,Nduduzo Sibiya,Velemseni Ndwandwe,Positional attacks,72.9,38.7,1829,Lamontville Golden Arrows,1830,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3296,89.17,89.5,72.9,38.7,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Nduduzo Sibiya,Positional attacks,70.2,41.2,1830,Lamontville Golden Arrows,1831,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3297,89.23,89.57,70.2,41.2,Lamontville Golden Arrows,Accurate passes,2nd half,Nduduzo Sibiya,Sera Motebang,Positional attacks,77.2,31.8,1831,Lamontville Golden Arrows,1832,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3300,89.25,89.58,77.2,31.8,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Pule Mmodi,Positional attacks,82,35.5,1832,Lamontville Golden Arrows,1833,0.01126177,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3302,89.27,89.6,82,35.5,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Velemseni Ndwandwe,Positional attacks,94.9,50.1,1833,Lamontville Golden Arrows,1834,0.01979812,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
3308,89.35,89.68,95.3,43.8,Lamontville Golden Arrows,Successful dribbles,2nd half,Velemseni Ndwandwe,Lebohang Maboe,Positional attacks,9.2,26.2,1836,Mamelodi Sundowns,1837,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,0,0,0,,,,,
3314,89.38,89.72,97.6,47,Lamontville Golden Arrows,Shots,2nd half,Velemseni Ndwandwe,Velemseni Ndwandwe,Positional attacks,97.6,47,1839,Lamontville Golden Arrows,1839,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,1,0,0,0,0,0,0,,,,,
3315,90.05,90.38,24.4,43.5,Mamelodi Sundowns,Accurate passes,2nd half,George Maluleka,Brian Onyango,Accurate passes,11.7,15.8,1840,Mamelodi Sundowns,1841,-0.00122715,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
3316,90.12,90.45,11.7,15.8,Mamelodi Sundowns,Accurate passes,2nd half,Brian Onyango,Denis Onyango,Accurate passes,1.8,20.4,1841,Mamelodi Sundowns,1842,9.40E-05,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
3317,90.15,90.48,1.8,20.4,Mamelodi Sundowns,Accurate passes,2nd half,Denis Onyango,Lebohang Maboe,Accurate passes,18.6,1.1,1842,Mamelodi Sundowns,1843,-0.00043136,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
3318,90.18,90.52,18.6,1.1,Mamelodi Sundowns,Accurate passes,2nd half,Lebohang Maboe,Brian Onyango,Accurate passes,1.6,3.6,1843,Mamelodi Sundowns,1844,-0.00206551,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
